Comment,Designator,Footprint,LCSC
0.1uF,C1,C_0201_0603Metric,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C4,C_0201_0603Metric,
Conn_01x03_Male,J3,PinHeader_1x03_P2.54mm_Vertical,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C2,C_0201_0603Metric,
Conn_01x04_Male,J1,PinHeader_1x04_P2.54mm_Vertical,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C5,C_0201_0603Metric,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C3,C_0201_0603Metric,
Conn_01x03_Male,J2,PinHeader_1x03_P2.54mm_Vertical,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
0.1uF,C6,C_0201_0603Metric,
